"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
2;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
3;"U4";"SMD_L3328_VIS";1;"VEML3328";;;
4;"J2";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_14P";;;
5;"U5";"USON-10_2.5x1.0mm_P0.5mm";1;"TPD4E05U06DQA";;;
6;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
7;"U2";"XDCR_VEML7700-TR";1;"VEML7700-TT";;;
8;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10kO";;;
9;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5k1";;;
10;"D2";"D_SMA";1;"SMAJ5.0A";;;
11;"C6,C4,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
12;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1uF";;;
13;"C3,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF";;;
14;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
15;"Q1";"SOT-23";1;"2N7002";;;
